"filename", "language", "Ignore", "Shell Script", "Docker", "Python", "HTML", "Markdown", "JavaScript", "JSON", "Less", "XML", "JSON with Comments", "CSS", "Ini", "toml", "comment", "blank", "total"
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/Legacy/5ePHB/snippets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 0, 0, 5, 25, 328
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/Legacy/5ePHB/snippets/classfeature.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/Legacy/5ePHB/snippets/classtable.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 16, 115
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/Legacy/5ePHB/snippets/coverpage.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 8, 117
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/Legacy/5ePHB/snippets/fullclass.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 12, 43
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/Legacy/5ePHB/snippets/magic.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 10, 92
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/Legacy/5ePHB/snippets/monsterblock.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 13, 201
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/Legacy/5ePHB/snippets/tableOfContents.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/Legacy/5ePHB/style.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 448, 0, 0, 0, 0, 0, 51, 3, 502
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5eDMG/settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5eDMG/snippets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5eDMG/style.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 3, 10, 44
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 7, 24, 328
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/classfeature.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 15, 50
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/classtable.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 7, 139
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/coverpage.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 30, 157
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/fullclass.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 12, 43
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/index.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/magic.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 11, 110
